HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5875 ,GANNET ,SHELL U.K. (CENTRAL),28/03/2010 ,1.0,Oil,Minor
5876 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,13/06/2010 ,245.0,Non-Process,Significant
5877 ,Aoka Mizu ,BLUEWATER ENGINEERING,15/05/2010 ,0.9,Gas,Minor
5878 ,CLEETON P/Q ,BP SNS (N),29/05/2010 ,8.5,Gas,Significant
5879 ,LEMAN AP ,SHELL U.K. SOUTHERN OPS,04/04/2010 ,0.5,Gas,Minor
5880 ,NINIAN SOUTHERN ,CNR (CANADIAN NATIONAL RESOURCE),27/02/2010 ,0.9,Condensate,Minor
5881 ,FULMAR A ,TALISMAN ENERGY (UK) LIMITED,31/05/2010 ,20.4,Non-Process,Minor
5883 ,ENSCO 70 ,ENSCO,16/06/2010 ,0.4,Non-Process,Minor
5884 ,CLYDE PLATFORM ,TALISMAN ENERGY (UK) LIMITED,29/06/2010 ,0.4,Gas,Minor
5885 ,CLYDE PLATFORM ,TALISMAN ENERGY (UK) LIMITED,04/04/2010 ,1.0,Gas,Minor
5886 ,GANNET ,SHELL U.K. (CENTRAL),22/05/2010 ,4.4,Condensate,Minor
5887 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,05/07/2010 ,44.0,Non-Process,Minor
5888 ,Chiswick ,VENTURE (FORMERLY CH4 NETHERLAND BV),14/07/2010 ,0.8,Gas,Minor
5890 ,LEMAN AD2 ,SHELL U.K. SOUTHERN OPS,23/06/2010 ,8.0,Non-Process,Minor
5892 ,Aoka Mizu ,BLUEWATER ENGINEERING,05/06/2010 ,16.8,Gas,Significant
5893 ,NORTH CORMORANT ,TAQA BRATANI LTD,29/01/2010 ,205.0,Gas,Significant
5894 ,NORTH CORMORANT ,TAQA BRATANI LTD,01/03/2010 ,8.8,Gas,Significant
5895 ,PETROJARL FOINAVEN ,TEEKAY PETROJARL PRODUCTION AS,19/07/2010 ,62.0,Gas,Significant
5896 ,MURCHISON ,CNR (CANADIAN NATIONAL RESOURCE),20/06/2010 ,10.0,Oil,Minor
5897 ,Buzzard P Platform ,NEXEN PETROLEUM UK LTD,07/07/2010 ,80.0,Non-Process,Minor
5900 ,DOUGLAS DD ,BHP BILLITON,17/06/2010 ,0.1,Gas,Minor
5901 ,ALWYN NORTH A ,TOTAL E&P UK LTD,06/08/2010 ,41.0,Non-Process,Minor
5903 ,ROUGH BP ,CENTRICA STORAGE LTD,31/07/2010 ,15.8,Gas,Significant
5905 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,06/02/2010 ,120.0,Non-Process,Minor
5906 ,BRUCE PUQ ,BP (DBU),27/07/2010 ,0.4,Condensate,Minor
5908 ,SCOTT JD ,NEXEN PETROLEUM UK LTD,24/07/2010 ,53.2,Oil,Minor
5909 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,13/08/2010 ,0.2,Non-Process,Minor
5910 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,26/05/2010 ,90.8,Oil,Significant
